Number of Pickers,Cycle Time,Picker Utilization,Order Per Labour Hour,Throughput
7,30.728823,0.02197791,140.6041869,19.76505422
8,30.656763,0.018100626,138.4114262,18.4097078
8,29.987709,0.016333545,142.8289543,17.18454667
8,29.669348,0.017077821,141.0519828,18.05353939
8,29.845652,0.018169179,138.237204,18.80382745
8,30.695105,0.018640444,142.6405713,19.08729204
8,30.403128,0.019338976,140.0061425,19.73798029
8,30.816895,0.018051587,139.5274597,18.31498725
8,29.462301,0.016360138,141.5602498,17.51269832
8,29.843393,0.016524317,142.7520152,17.64525235
8,30.099634,0.016682375,137.449468,17.1069713
8,30.27211,0.017704536,139.8793368,18.16952254
8,30.057999,0.019369529,138.9832999,20.01433748
8,30.329676,0.01920242,139.8590225,19.76708942
8,29.63069,0.017250937,141.713215,18.16947914
8,29.3747,0.015225215,142.3923495,16.34600906
8,29.87387,0.016799311,141.6001375,17.92711938
8,30.118357,0.017470964,136.5721228,17.83649104
8,31.188696,0.018392521,137.7905141,18.29232515
8,30.192154,0.018081353,138.6768103,18.68278883
8,30.336977,0.019168047,139.5306351,19.7656969
8,30.180159,0.018986874,139.1667693,19.40330487
8,31.12931,0.018191692,139.0233379,18.21385016
8,31.611954,0.019390288,137.1478596,18.90710675
8,29.941835,0.017603537,137.4886946,18.0467858
8,30.072294,0.017934464,141.0801281,18.75007561
8,30.550827,0.017838527,139.7102335,18.26854279
8,30.602646,0.017626509,138.7123294,18.0133447
8,30.398224,0.017926407,141.1789621,18.59870827
9,30.437944,0.01586399,140.6265613,18.64228434
9,30.62191,0.016889546,138.0792772,19.21814575
9,31.373209,0.018724566,137.1871659,20.62503474
9,30.476494,0.01688796,136.8432973,19.08906501
9,30.661352,0.016175389,135.5631149,18.02465474
9,30.918732,0.016309774,139.2048847,18.59550221
9,30.140314,0.015294472,139.2047756,17.74878465
9,29.936655,0.015387686,138.1887452,17.9682339
9,30.536299,0.016428489,139.7288215,19.04939997
9,31.028717,0.017159286,139.0179154,19.21295023
9,30.364029,0.015767572,138.2482493,18.1577539
9,30.474138,0.017088642,142.1845221,19.98541771
9,30.283705,0.014498308,140.8714869,16.81486219
